id;fecha_hora;personas;estado;observaciones
1;2025-11-05T12:20:55;4;EXPIRADA;beyond slather
2;2025-11-06T00:20:51;8;CONFIRMADA;um cricket beyond
3;2025-11-06T02:44:34;3;CONFIRMADA;out focused hello
4;2025-11-05T04:22:19;2;PENDIENTE;aha supposing aboard
5;2025-11-05T17:41:40;20;PENDIENTE;unlucky cheetah
6;2025-11-05T06:48:52;24;CONFIRMADA;shiny perfectly curiously
7;2025-11-05T06:28:22;30;CANCELADA;including executor
8;2025-11-05T19:49:11;6;CONFIRMADA;unfurl fooey busy
9;2025-11-05T19:48:46;11;EXPIRADA;gray madly
10;2025-11-06T01:26:46;26;CONFIRMADA;er nor plagiarise
