id;fecha_hora;personas;estado;observaciones
1;2025-11-05T12:18:49;4;EXPIRADA;beyond slather
2;2025-11-06T00:18:45;8;CONFIRMADA;um cricket beyond
3;2025-11-06T02:42:28;3;CONFIRMADA;out focused hello
4;2025-11-05T04:20:13;2;PENDIENTE;aha supposing aboard
5;2025-11-05T17:39:34;20;PENDIENTE;unlucky cheetah
6;2025-11-05T06:46:46;24;CONFIRMADA;shiny perfectly curiously
7;2025-11-05T06:26:16;30;CANCELADA;including executor
8;2025-11-05T19:47:05;6;CONFIRMADA;unfurl fooey busy
9;2025-11-05T19:46:40;11;EXPIRADA;gray madly
10;2025-11-06T01:24:40;26;CONFIRMADA;er nor plagiarise
